,area_numbe,bus_count,train_count,Total_Stops
0,1,97,4.0,101.0
1,2,196,,
2,3,175,3.0,178.0
3,4,132,4.0,136.0
4,5,113,2.0,115.0
5,6,223,7.0,230.0
6,7,167,2.0,169.0
7,8,254,7.0,261.0
8,9,16,,
9,10,105,1.0,106.0
10,11,99,1.0,100.0
11,12,94,,
12,13,94,,
13,14,92,3.0,95.0
14,15,245,,
15,16,155,3.0,158.0
16,17,163,,
17,18,39,,
18,19,247,,
19,20,51,,
20,21,120,1.0,121.0
21,22,226,3.0,229.0
22,23,201,,
23,24,288,4.0,292.0
24,25,400,5.0,405.0
25,26,70,2.0,72.0
26,27,138,4.0,142.0
27,28,361,9.0,370.0
28,29,198,4.0,202.0
29,30,184,1.0,185.0
30,31,153,4.0,157.0
31,32,154,16.0,170.0
32,33,84,3.0,87.0
33,34,60,2.0,62.0
34,35,104,1.0,105.0
35,36,25,,
36,37,44,2.0,46.0
37,38,126,4.0,130.0
38,39,50,,
39,40,102,1.0,103.0
40,41,97,,
41,42,147,2.0,149.0
42,43,179,,
43,44,145,2.0,147.0
44,45,62,,
45,46,117,,
46,47,19,,
47,48,79,,
48,49,210,1.0,211.0
49,50,47,,
50,51,121,,
51,52,74,,
52,53,104,,
53,54,23,,
54,55,47,,
55,56,137,1.0,138.0
56,57,66,1.0,67.0
57,58,145,1.0,146.0
58,59,81,1.0,82.0
59,60,114,1.0,115.0
60,61,209,,
61,62,45,,
62,63,108,1.0,109.0
63,64,121,,
64,65,79,,
65,66,139,,
66,67,169,1.0,170.0
67,68,173,2.0,175.0
68,69,248,1.0,249.0
69,70,131,,
70,71,174,,
71,72,68,,
72,73,115,,
73,74,82,,
74,75,88,,
75,76,30,2.0,32.0
76,77,121,4.0,125.0
