area_numbe,bus_count,train_count,Total_Stops,,total_stops (updated)
1,97,4,101,,101
2,196,,,,196
3,175,3,178,,178
4,132,4,136,,136
5,113,2,115,,115
6,223,7,230,,230
7,167,2,169,,169
8,254,7,261,,261
9,16,,,,16
10,105,1,106,,106
11,99,1,100,,100
12,94,,,,94
13,94,,,,94
14,92,3,95,,95
15,245,,,,245
16,155,3,158,,158
17,163,,,,163
18,39,,,,39
19,247,,,,247
20,51,,,,51
21,120,1,121,,121
22,226,3,229,,229
23,201,,,,201
24,288,4,292,,292
25,400,5,405,,405
26,70,2,72,,72
27,138,4,142,,142
28,361,9,370,,370
29,198,4,202,,202
30,184,1,185,,185
31,153,4,157,,157
32,154,16,170,,170
33,84,3,87,,87
34,60,2,62,,62
35,104,1,105,,105
36,25,,,,25
37,44,2,46,,46
38,126,4,130,,130
39,50,,,,50
40,102,1,103,,103
41,97,,,,97
42,147,2,149,,149
43,179,,,,179
44,145,2,147,,147
45,62,,,,62
46,117,,,,117
47,19,,,,19
48,79,,,,79
49,210,1,211,,211
50,47,,,,47
51,121,,,,121
52,74,,,,74
53,104,,,,104
54,23,,,,23
55,47,,,,47
56,137,1,138,,138
57,66,1,67,,67
58,145,1,146,,146
59,81,1,82,,82
60,114,1,115,,115
61,209,,,,209
62,45,,,,45
63,108,1,109,,109
64,121,,,,121
65,79,,,,79
66,139,,,,139
67,169,1,170,,170
68,173,2,175,,175
69,248,1,249,,249
70,131,,,,131
71,174,,,,174
72,68,,,,68
73,115,,,,115
74,82,,,,82
75,88,,,,88
76,30,2,32,,32
77,121,4,125,,125
